ID,FileBase,SRARun,Species,Strain,LocusTag,BioProject,BioSample
110C-1,ISQ0044495_S241_R[12]_001.fastq.gz,,Rhodotorula mucilaginosa,TFCN_110C-1,,,
118C-2,ISQ0044496_S277_R[12]_001.fastq.gz,,Rhodotorula mucilaginosa,TFCN_118C-2,,,
152A-1,ISQ0044618_S283_R[12]_001.fastq.gz,,Rhodotorula toruloides,TFCN_152A-1,,,
152A-2,ISQ0044600_S243_R[12]_001.fastq.gz,,Rhodotorula sphaerocarpa,TFCN_152A-2,,,
152A-4,ISQ0044619_S14_R[12]_001.fastq.gz,,Rhodotorula toruloides,TFCN_152A-4,,,
152A-6,ISQ0044621_S50_R[12]_001.fastq.gz,,Rhodotorula toruloides,TFCN_152A-6,,,
152C-3,ISQ0044623_S86_R[12]_001.fastq.gz,,Rhodotorula toruloides,TFCN_152C-3,,,
152C-6,ISQ0044625_S122_R[12]_001.fastq.gz,,Rhodotorula toruloides,TFCN_152C-6,,,
152D-6,ISQ0044627_S16_R[12]_001.fastq.gz,,Rhodotorula toruloides,TFCN_152D-6,,,
17-0-2E329-4,ISQ0044474_S201_R[12]_001.fastq.gz,,Rhodotorula graminis,TFCN_17-0-2E329-4,,,
17-0-2E334-10,ISQ0044505_S27_R[12]_001.fastq.gz,,Rhodotorula mucilaginosa,TFCN_17-0-2E334-10,,,
17-0-2E334-4,ISQ0044506_S63_R[12]_001.fastq.gz,,Rhodotorula mucilaginosa,TFCN_17-0-2E334-4,,,
17-0-2E390-1,ISQ0044459_S19_R[12]_001.fastq.gz,,Rhodotorula alborubescens,TFCN_17-0-2E390-1,,,
17-0-2E390-2,ISQ0044460_S55_R[12]_001.fastq.gz,,Rhodotorula alborubescens,TFCN_17-0-2E390-2,,,
17-267M-1,ISQ0044461_S91_R[12]_001.fastq.gz,,Rhodotorula alborubescens,TFCN_17-267M-1,,,
17-291Y-1,ISQ0044462_S127_R[12]_001.fastq.gz,,Rhodotorula alborubescens,TFCN_17-291Y-1,,,
