Reads Used:           	14747930	(2212189500 bases)

Mapping:          	215.295 seconds.
Reads/sec:       	68500.97
kBases/sec:      	10275.15


Pairing data:   	pct pairs	num pairs 	pct bases	   num bases

mated pairs:     	 83.6243% 	  6166423 	 83.6243% 	  1849926900
bad pairs:       	  1.1299% 	    83322 	  1.1299% 	    24996600
insert size avg: 	  373.14


Read 1 data:      	pct reads	num reads 	pct bases	   num bases

mapped:          	 85.8214% 	  6328437 	 85.8214% 	   949265550
unambiguous:     	 85.7732% 	  6324885 	 85.7732% 	   948732750
ambiguous:       	  0.0482% 	     3552 	  0.0482% 	      532800
low-Q discards:  	  0.0000% 	        0 	  0.0000% 	           0

perfect best site:	 66.2172% 	  4882830 	 66.2172% 	   732424500
semiperfect site:	 66.3698% 	  4894086 	 66.3698% 	   734112900
rescued:         	  0.3817% 	    28150

Match Rate:      	      NA 	       NA 	 99.2450% 	   945525558
Error Rate:      	 22.0245% 	  1393807 	  0.7012% 	     6680893
Sub Rate:        	 21.8654% 	  1383738 	  0.3265% 	     3111053
Del Rate:        	  0.2934% 	    18569 	  0.3624% 	     3452687
Ins Rate:        	  0.2533% 	    16030 	  0.0123% 	      117153
N Rate:          	  1.2286% 	    77754 	  0.0537% 	      511786


Read 2 data:      	pct reads	num reads 	pct bases	   num bases

mapped:          	 85.1265% 	  6277195 	 85.1265% 	   941579250
unambiguous:     	 85.0773% 	  6273570 	 85.0773% 	   941035500
ambiguous:       	  0.0492% 	     3625 	  0.0492% 	      543750
low-Q discards:  	  0.0000% 	        0 	  0.0000% 	           0

perfect best site:	 56.9333% 	  4198244 	 56.9333% 	   629736600
semiperfect site:	 57.0693% 	  4208272 	 57.0693% 	   631240800
rescued:         	  0.2954% 	    21780

Match Rate:      	      NA 	       NA 	 98.4532% 	   933158984
Error Rate:      	 31.9994% 	  2008663 	  1.4869% 	    14092774
Sub Rate:        	 31.8512% 	  1999361 	  0.8108% 	     7684579
Del Rate:        	  0.4150% 	    26049 	  0.6584% 	     6240578
Ins Rate:        	  0.3350% 	    21026 	  0.0177% 	      167617
N Rate:          	  2.3711% 	   148836 	  0.0599% 	      568070
